id,date,terminal,hour,wait_time_minutes
367,2024-01-04,D,15,18.2
368,2024-01-04,D,16,37.4
369,2024-01-04,D,17,36.9
370,2024-01-04,D,18,26.7
371,2024-01-04,D,19,29.0
372,2024-01-04,D,20,18.7
373,2024-01-04,D,21,10.8
374,2024-01-04,D,22,16.2
375,2024-01-04,E,6,18.7
376,2024-01-04,E,7,30.6
377,2024-01-04,E,8,61.7
378,2024-01-04,E,9,30.8
379,2024-01-04,E,10,15.0
380,2024-01-04,E,11,12.7
381,2024-01-04,E,12,23.6
382,2024-01-04,E,13,21.3
383,2024-01-04,E,14,18.5
384,2024-01-04,E,15,13.6
385,2024-01-04,E,16,28.3
386,2024-01-04,E,17,36.0
387,2024-01-04,E,18,29.5
388,2024-01-04,E,19,34.5
389,2024-01-04,E,20,16.4
390,2024-01-04,E,21,14.5
391,2024-01-04,E,22,20.1
392,2024-01-04,F,6,16.5
393,2024-01-04,F,7,42.5
394,2024-01-04,F,8,38.4
395,2024-01-04,F,9,37.7
396,2024-01-04,F,10,17.2
397,2024-01-04,F,11,25.1
398,2024-01-04,F,12,19.3
399,2024-01-04,F,13,13.8
400,2024-01-04,F,14,9.6
401,2024-01-04,F,15,9.8
402,2024-01-04,F,16,35.8
403,2024-01-04,F,17,35.4
404,2024-01-04,F,18,25.0
405,2024-01-04,F,19,30.1
406,2024-01-04,F,20,17.2
407,2024-01-04,F,21,11.2
408,2024-01-04,F,22,16.0
409,2024-01-05,A,6,18.0
410,2024-01-05,A,7,55.9
411,2024-01-05,A,8,38.9
412,2024-01-05,A,9,34.3
413,2024-01-05,A,10,14.5
414,2024-01-05,A,11,13.9
415,2024-01-05,A,12,16.8
416,2024-01-05,A,13,8.6
417,2024-01-05,A,14,18.3
418,2024-01-05,A,15,12.5
419,2024-01-05,A,16,35.2
420,2024-01-05,A,17,45.6
421,2024-01-05,A,18,36.0
422,2024-01-05,A,19,42.3
423,2024-01-05,A,20,20.2
424,2024-01-05,A,21,19.3
425,2024-01-05,A,22,21.6
426,2024-01-05,B,6,17.9
427,2024-01-05,B,7,41.2
428,2024-01-05,B,8,36.2
429,2024-01-05,B,9,29.0
430,2024-01-05,B,10,16.3
431,2024-01-05,B,11,18.4
432,2024-01-05,B,12,10.7
433,2024-01-05,B,13,21.2
434,2024-01-05,B,14,16.4
435,2024-01-05,B,15,11.2
436,2024-01-05,B,16,37.4
437,2024-01-05,B,17,42.6
438,2024-01-05,B,18,29.9
439,2024-01-05,B,19,43.8
440,2024-01-05,B,20,11.6
441,2024-01-05,B,21,23.0
442,2024-01-05,B,22,21.7
443,2024-01-05,C,6,9.9
444,2024-01-05,C,7,51.1
445,2024-01-05,C,8,39.9
446,2024-01-05,C,9,45.9
447,2024-01-05,C,10,17.7
448,2024-01-05,C,11,11.2
449,2024-01-05,C,12,20.8
450,2024-01-05,C,13,9.5
451,2024-01-05,C,14,17.1
452,2024-01-05,C,15,11.0
453,2024-01-05,C,16,34.3
454,2024-01-05,C,17,51.9
455,2024-01-05,C,18,35.9
456,2024-01-05,C,19,46.3
457,2024-01-05,C,20,14.4
458,2024-01-05,C,21,18.4
459,2024-01-05,C,22,21.4
460,2024-01-05,D,6,10.7
461,2024-01-05,D,7,37.3
462,2024-01-05,D,8,36.5
463,2024-01-05,D,9,47.7
464,2024-01-05,D,10,18.8
465,2024-01-05,D,11,13.8
466,2024-01-05,D,12,17.8
467,2024-01-05,D,13,18.9
468,2024-01-05,D,14,11.0
469,2024-01-05,D,15,14.6
470,2024-01-05,D,16,40.0
471,2024-01-05,D,17,40.8
472,2024-01-05,D,18,37.4
473,2024-01-05,D,19,40.3
474,2024-01-05,D,20,16.0
475,2024-01-05,D,21,26.9
476,2024-01-05,D,22,15.6
477,2024-01-05,E,6,16.3
478,2024-01-05,E,7,46.8
479,2024-01-05,E,8,41.2
480,2024-01-05,E,9,39.4
481,2024-01-05,E,10,13.6
482,2024-01-05,E,11,13.3
483,2024-01-05,E,12,25.8
484,2024-01-05,E,13,11.8
485,2024-01-05,E,14,12.8
486,2024-01-05,E,15,16.7
487,2024-01-05,E,16,42.9
488,2024-01-05,E,17,34.0
489,2024-01-05,E,18,37.5
490,2024-01-05,E,19,35.6
491,2024-01-05,E,20,11.0
492,2024-01-05,E,21,19.0
493,2024-01-05,E,22,16.1
494,2024-01-05,F,6,17.4
495,2024-01-05,F,7,38.5
496,2024-01-05,F,8,40.6
497,2024-01-05,F,9,42.3
498,2024-01-05,F,10,11.3
499,2024-01-05,F,11,15.2
500,2024-01-05,F,12,19.6
501,2024-01-05,F,13,17.3
502,2024-01-05,F,14,18.0
503,2024-01-05,F,15,13.4
504,2024-01-05,F,16,36.7
505,2024-01-05,F,17,34.0
506,2024-01-05,F,18,45.3
507,2024-01-05,F,19,39.4
508,2024-01-05,F,20,18.6
509,2024-01-05,F,21,11.7
510,2024-01-05,F,22,11.6
511,2024-01-06,A,6,20.8
512,2024-01-06,A,7,42.3
513,2024-01-06,A,8,51.4
514,2024-01-06,A,9,71.3
515,2024-01-06,A,10,21.4
516,2024-01-06,A,11,13.9
517,2024-01-06,A,12,25.6
518,2024-01-06,A,13,24.9
519,2024-01-06,A,14,15.2
520,2024-01-06,A,15,18.4
521,2024-01-06,A,16,52.1
522,2024-01-06,A,17,51.6
523,2024-01-06,A,18,34.9
524,2024-01-06,A,19,51.4
525,2024-01-06,A,20,25.0
526,2024-01-06,A,21,20.7
527,2024-01-06,A,22,27.3
528,2024-01-06,B,6,29.7
529,2024-01-06,B,7,46.9
530,2024-01-06,B,8,51.1
531,2024-01-06,B,9,58.0
532,2024-01-06,B,10,29.5
533,2024-01-06,B,11,28.0
534,2024-01-06,B,12,19.1
535,2024-01-06,B,13,23.2
536,2024-01-06,B,14,17.4
537,2024-01-06,B,15,16.3
538,2024-01-06,B,16,52.3
539,2024-01-06,B,17,36.1
540,2024-01-06,B,18,55.4
541,2024-01-06,B,19,38.4
542,2024-01-06,B,20,15.1
543,2024-01-06,B,21,22.1
544,2024-01-06,B,22,19.7
545,2024-01-06,C,6,20.4
546,2024-01-06,C,7,39.5
547,2024-01-06,C,8,45.5
548,2024-01-06,C,9,61.2
549,2024-01-06,C,10,26.2
550,2024-01-06,C,11,22.4
551,2024-01-06,C,12,24.9
552,2024-01-06,C,13,23.8
553,2024-01-06,C,14,11.1
554,2024-01-06,C,15,18.0
555,2024-01-06,C,16,53.9
556,2024-01-06,C,17,48.7
557,2024-01-06,C,18,37.3
558,2024-01-06,C,19,31.7
559,2024-01-06,C,20,29.7
560,2024-01-06,C,21,22.7
561,2024-01-06,C,22,14.3
562,2024-01-06,D,6,27.5
563,2024-01-06,D,7,76.2
564,2024-01-06,D,8,70.6
565,2024-01-06,D,9,60.3
566,2024-01-06,D,10,17.3
567,2024-01-06,D,11,18.2
568,2024-01-06,D,12,32.1
569,2024-01-06,D,13,15.5
570,2024-01-06,D,14,15.0
571,2024-01-06,D,15,23.8
572,2024-01-06,D,16,48.2
573,2024-01-06,D,17,62.6
574,2024-01-06,D,18,45.1
575,2024-01-06,D,19,58.1
576,2024-01-06,D,20,25.9
577,2024-01-06,D,21,18.5
578,2024-01-06,D,22,14.5
579,2024-01-06,E,6,28.5
580,2024-01-06,E,7,46.4
581,2024-01-06,E,8,44.3
582,2024-01-06,E,9,61.8
583,2024-01-06,E,10,22.1
584,2024-01-06,E,11,31.4
585,2024-01-06,E,12,20.9
586,2024-01-06,E,13,32.3
587,2024-01-06,E,14,13.5
588,2024-01-06,E,15,15.5
589,2024-01-06,E,16,47.5
590,2024-01-06,E,17,59.0
591,2024-01-06,E,18,45.9
592,2024-01-06,E,19,45.4
593,2024-01-06,E,20,22.1
594,2024-01-06,E,21,23.1
595,2024-01-06,E,22,20.6
596,2024-01-06,F,6,19.9
597,2024-01-06,F,7,38.8
598,2024-01-06,F,8,47.2
599,2024-01-06,F,9,50.2
600,2024-01-06,F,10,26.0
601,2024-01-06,F,11,24.9
602,2024-01-06,F,12,25.9
603,2024-01-06,F,13,20.4
604,2024-01-06,F,14,24.6
605,2024-01-06,F,15,16.9
606,2024-01-06,F,16,55.5
607,2024-01-06,F,17,39.8
608,2024-01-06,F,18,51.0
609,2024-01-06,F,19,43.4
610,2024-01-06,F,20,21.4
611,2024-01-06,F,21,23.1
612,2024-01-06,F,22,23.1
613,2024-01-07,A,6,18.6
614,2024-01-07,A,7,59.4
615,2024-01-07,A,8,70.7
616,2024-01-07,A,9,53.2
617,2024-01-07,A,10,16.1
618,2024-01-07,A,11,24.6
619,2024-01-07,A,12,16.9
620,2024-01-07,A,13,22.1
621,2024-01-07,A,14,19.4
622,2024-01-07,A,15,19.9
623,2024-01-07,A,16,55.3
624,2024-01-07,A,17,60.0
625,2024-01-07,A,18,49.1
626,2024-01-07,A,19,54.2
627,2024-01-07,A,20,19.8
628,2024-01-07,A,21,19.7
629,2024-01-07,A,22,18.7
630,2024-01-07,B,6,16.8
631,2024-01-07,B,7,46.9
632,2024-01-07,B,8,51.1
633,2024-01-07,B,9,52.4
634,2024-01-07,B,10,17.9
635,2024-01-07,B,11,20.4
636,2024-01-07,B,12,28.0
637,2024-01-07,B,13,17.4
638,2024-01-07,B,14,15.4
639,2024-01-07,B,15,15.1
640,2024-01-07,B,16,40.3
641,2024-01-07,B,17,47.2
642,2024-01-07,B,18,46.1
643,2024-01-07,B,19,45.9
644,2024-01-07,B,20,21.7
645,2024-01-07,B,21,13.8
646,2024-01-07,B,22,26.5
647,2024-01-07,C,6,29.2
648,2024-01-07,C,7,44.6
649,2024-01-07,C,8,51.7
650,2024-01-07,C,9,58.7
651,2024-01-07,C,10,15.7
652,2024-01-07,C,11,21.0
653,2024-01-07,C,12,26.4
654,2024-01-07,C,13,21.8
655,2024-01-07,C,14,21.6
656,2024-01-07,C,15,20.7
657,2024-01-07,C,16,39.3
658,2024-01-07,C,17,46.6
659,2024-01-07,C,18,46.4
660,2024-01-07,C,19,69.6
661,2024-01-07,C,20,15.7
662,2024-01-07,C,21,23.7
663,2024-01-07,C,22,14.3
664,2024-01-07,D,6,22.8
665,2024-01-07,D,7,58.6
666,2024-01-07,D,8,53.6
667,2024-01-07,D,9,63.1
668,2024-01-07,D,10,26.9
669,2024-01-07,D,11,18.1
670,2024-01-07,D,12,25.1
671,2024-01-07,D,13,23.6
672,2024-01-07,D,14,17.4
673,2024-01-07,D,15,20.5
674,2024-01-07,D,16,43.6
675,2024-01-07,D,17,48.6
676,2024-01-07,D,18,44.9
677,2024-01-07,D,19,46.2
678,2024-01-07,D,20,12.7
679,2024-01-07,D,21,23.5
680,2024-01-07,D,22,22.0
681,2024-01-07,E,6,23.0
682,2024-01-07,E,7,59.1
683,2024-01-07,E,8,51.4
684,2024-01-07,E,9,37.4
685,2024-01-07,E,10,14.3
686,2024-01-07,E,11,22.6
687,2024-01-07,E,12,18.2
688,2024-01-07,E,13,17.7
689,2024-01-07,E,14,26.0
690,2024-01-07,E,15,13.7
691,2024-01-07,E,16,47.3
692,2024-01-07,E,17,45.8
693,2024-01-07,E,18,46.8
694,2024-01-07,E,19,35.6
695,2024-01-07,E,20,19.9
696,2024-01-07,E,21,18.9
697,2024-01-07,E,22,22.8
698,2024-01-07,F,6,19.2
699,2024-01-07,F,7,47.9
700,2024-01-07,F,8,64.3
701,2024-01-07,F,9,44.4
702,2024-01-07,F,10,24.8
703,2024-01-07,F,11,21.8
704,2024-01-07,F,12,21.5
705,2024-01-07,F,13,22.9
706,2024-01-07,F,14,18.6
707,2024-01-07,F,15,26.5
708,2024-01-07,F,16,60.8
709,2024-01-07,F,17,47.5
710,2024-01-07,F,18,45.9
711,2024-01-07,F,19,53.0
712,2024-01-07,F,20,19.2
713,2024-01-07,F,21,20.0
714,2024-01-07,F,22,18.4
715,2024-01-08,A,6,13.8
716,2024-01-08,A,7,33.1
717,2024-01-08,A,8,40.0
718,2024-01-08,A,9,26.7
719,2024-01-08,A,10,19.9
720,2024-01-08,A,11,17.1
721,2024-01-08,A,12,15.1
722,2024-01-08,A,13,17.3
723,2024-01-08,A,14,20.7
724,2024-01-08,A,15,27.3
725,2024-01-08,A,16,39.4
726,2024-01-08,A,17,37.4
727,2024-01-08,A,18,35.0
728,2024-01-08,A,19,30.1
729,2024-01-08,A,20,17.5
730,2024-01-08,A,21,19.4
731,2024-01-08,A,22,15.4
732,2024-01-08,B,6,11.0
733,2024-01-08,B,7,31.9
734,2024-01-08,B,8,54.8
735,2024-01-08,B,9,33.7
736,2024-01-08,B,10,21.4
737,2024-01-08,B,11,12.0
738,2024-01-08,B,12,23.3
739,2024-01-08,B,13,12.9
740,2024-01-08,B,14,10.6
741,2024-01-08,B,15,19.3
742,2024-01-08,B,16,29.0
743,2024-01-08,B,17,36.4
744,2024-01-08,B,18,31.5
745,2024-01-08,B,19,36.0
746,2024-01-08,B,20,13.7
747,2024-01-08,B,21,33.3
748,2024-01-08,B,22,13.9
749,2024-01-08,C,6,12.2
750,2024-01-08,C,7,39.5
751,2024-01-08,C,8,44.1
752,2024-01-08,C,9,45.5
753,2024-01-08,C,10,12.3
754,2024-01-08,C,11,13.1
755,2024-01-08,C,12,19.1
756,2024-01-08,C,13,13.9
757,2024-01-08,C,14,22.7
758,2024-01-08,C,15,15.4
759,2024-01-08,C,16,29.4
760,2024-01-08,C,17,26.2
761,2024-01-08,C,18,46.8
762,2024-01-08,C,19,34.1
763,2024-01-08,C,20,13.3
764,2024-01-08,C,21,10.3
765,2024-01-08,C,22,16.0
766,2024-01-08,D,6,22.9
767,2024-01-08,D,7,40.9
768,2024-01-08,D,8,37.7
769,2024-01-08,D,9,39.5
770,2024-01-08,D,10,18.6
771,2024-01-08,D,11,15.6
772,2024-01-08,D,12,15.1
773,2024-01-08,D,13,17.4
774,2024-01-08,D,14,18.8
775,2024-01-08,D,15,25.4
776,2024-01-08,D,16,34.4
777,2024-01-08,D,17,39.3
778,2024-01-08,D,18,37.2
779,2024-01-08,D,19,32.0
780,2024-01-08,D,20,10.2
781,2024-01-08,D,21,13.5
782,2024-01-08,D,22,15.3
783,2024-01-08,E,6,19.6
784,2024-01-08,E,7,49.7
785,2024-01-08,E,8,45.7
786,2024-01-08,E,9,56.4
787,2024-01-08,E,10,13.3
788,2024-01-08,E,11,14.4
789,2024-01-08,E,12,15.2
790,2024-01-08,E,13,18.1
791,2024-01-08,E,14,16.2
792,2024-01-08,E,15,14.0
793,2024-01-08,E,16,40.1
794,2024-01-08,E,17,34.7
795,2024-01-08,E,18,35.3
796,2024-01-08,E,19,31.6
797,2024-01-08,E,20,22.9
798,2024-01-08,E,21,9.6
799,2024-01-08,E,22,13.6
800,2024-01-08,F,6,18.1
801,2024-01-08,F,7,36.3
802,2024-01-08,F,8,37.1
803,2024-01-08,F,9,41.9
804,2024-01-08,F,10,16.2
805,2024-01-08,F,11,11.3
806,2024-01-08,F,12,11.4
807,2024-01-08,F,13,17.0
808,2024-01-08,F,14,13.1
809,2024-01-08,F,15,10.1
810,2024-01-08,F,16,35.9
811,2024-01-08,F,17,38.9
812,2024-01-08,F,18,30.6
813,2024-01-08,F,19,33.1
814,2024-01-08,F,20,18.4
815,2024-01-08,F,21,14.2
816,2024-01-08,F,22,13.5
817,2024-01-09,A,6,26.1
818,2024-01-09,A,7,45.3
819,2024-01-09,A,8,40.6
820,2024-01-09,A,9,42.1
821,2024-01-09,A,10,12.5
