id,date,terminal,hour,passenger_count
246,2024-01-03,C,13,162
247,2024-01-03,C,14,213
248,2024-01-03,C,15,249
249,2024-01-03,C,16,239
250,2024-01-03,C,17,323
251,2024-01-03,C,18,283
252,2024-01-03,C,19,360
253,2024-01-03,C,20,190
254,2024-01-03,C,21,205
255,2024-01-03,C,22,199
256,2024-01-03,D,6,244
257,2024-01-03,D,7,441
258,2024-01-03,D,8,314
259,2024-01-03,D,9,321
260,2024-01-03,D,10,212
261,2024-01-03,D,11,167
262,2024-01-03,D,12,237
263,2024-01-03,D,13,243
264,2024-01-03,D,14,178
265,2024-01-03,D,15,169
266,2024-01-03,D,16,309
267,2024-01-03,D,17,324
268,2024-01-03,D,18,332
269,2024-01-03,D,19,229
270,2024-01-03,D,20,161
271,2024-01-03,D,21,183
272,2024-01-03,D,22,168
273,2024-01-03,E,6,85
274,2024-01-03,E,7,284
275,2024-01-03,E,8,307
276,2024-01-03,E,9,355
277,2024-01-03,E,10,182
278,2024-01-03,E,11,174
279,2024-01-03,E,12,231
280,2024-01-03,E,13,231
281,2024-01-03,E,14,205
282,2024-01-03,E,15,204
283,2024-01-03,E,16,285
284,2024-01-03,E,17,290
285,2024-01-03,E,18,251
286,2024-01-03,E,19,309
287,2024-01-03,E,20,231
288,2024-01-03,E,21,254
289,2024-01-03,E,22,190
290,2024-01-03,F,6,219
291,2024-01-03,F,7,245
292,2024-01-03,F,8,342
293,2024-01-03,F,9,341
294,2024-01-03,F,10,259
295,2024-01-03,F,11,215
296,2024-01-03,F,12,219
297,2024-01-03,F,13,217
298,2024-01-03,F,14,201
299,2024-01-03,F,15,261
300,2024-01-03,F,16,227
301,2024-01-03,F,17,325
302,2024-01-03,F,18,365
303,2024-01-03,F,19,244
304,2024-01-03,F,20,233
305,2024-01-03,F,21,169
306,2024-01-03,F,22,204
307,2024-01-04,A,6,168
308,2024-01-04,A,7,398
309,2024-01-04,A,8,348
310,2024-01-04,A,9,393
311,2024-01-04,A,10,217
312,2024-01-04,A,11,168
313,2024-01-04,A,12,220
314,2024-01-04,A,13,173
315,2024-01-04,A,14,202
316,2024-01-04,A,15,187
317,2024-01-04,A,16,355
318,2024-01-04,A,17,341
319,2024-01-04,A,18,318
320,2024-01-04,A,19,292
321,2024-01-04,A,20,149
322,2024-01-04,A,21,205
323,2024-01-04,A,22,174
324,2024-01-04,B,6,124
325,2024-01-04,B,7,306
326,2024-01-04,B,8,425
327,2024-01-04,B,9,333
328,2024-01-04,B,10,243
329,2024-01-04,B,11,185
330,2024-01-04,B,12,249
331,2024-01-04,B,13,246
332,2024-01-04,B,14,166
333,2024-01-04,B,15,120
334,2024-01-04,B,16,243
335,2024-01-04,B,17,287
336,2024-01-04,B,18,395
337,2024-01-04,B,19,303
338,2024-01-04,B,20,205
339,2024-01-04,B,21,252
340,2024-01-04,B,22,204
341,2024-01-04,C,6,203
342,2024-01-04,C,7,384
343,2024-01-04,C,8,371
344,2024-01-04,C,9,356
345,2024-01-04,C,10,171
346,2024-01-04,C,11,203
347,2024-01-04,C,12,243
348,2024-01-04,C,13,271
349,2024-01-04,C,14,211
350,2024-01-04,C,15,230
351,2024-01-04,C,16,330
352,2024-01-04,C,17,316
353,2024-01-04,C,18,340
354,2024-01-04,C,19,367
355,2024-01-04,C,20,164
356,2024-01-04,C,21,141
357,2024-01-04,C,22,178
358,2024-01-04,D,6,208
359,2024-01-04,D,7,394
360,2024-01-04,D,8,320
361,2024-01-04,D,9,260
362,2024-01-04,D,10,179
363,2024-01-04,D,11,192
364,2024-01-04,D,12,153
365,2024-01-04,D,13,169
366,2024-01-04,D,14,234
367,2024-01-04,D,15,203
368,2024-01-04,D,16,333
369,2024-01-04,D,17,305
370,2024-01-04,D,18,289
371,2024-01-04,D,19,305
372,2024-01-04,D,20,219
373,2024-01-04,D,21,140
374,2024-01-04,D,22,266
375,2024-01-04,E,6,222
376,2024-01-04,E,7,338
377,2024-01-04,E,8,392
378,2024-01-04,E,9,408
379,2024-01-04,E,10,186
380,2024-01-04,E,11,191
381,2024-01-04,E,12,259
382,2024-01-04,E,13,284
383,2024-01-04,E,14,201
384,2024-01-04,E,15,153
385,2024-01-04,E,16,301
386,2024-01-04,E,17,361
387,2024-01-04,E,18,278
388,2024-01-04,E,19,311
389,2024-01-04,E,20,211
390,2024-01-04,E,21,163
391,2024-01-04,E,22,243
392,2024-01-04,F,6,227
393,2024-01-04,F,7,440
394,2024-01-04,F,8,391
395,2024-01-04,F,9,321
396,2024-01-04,F,10,221
397,2024-01-04,F,11,239
398,2024-01-04,F,12,241
399,2024-01-04,F,13,168
400,2024-01-04,F,14,164
401,2024-01-04,F,15,154
402,2024-01-04,F,16,384
403,2024-01-04,F,17,344
404,2024-01-04,F,18,287
405,2024-01-04,F,19,325
406,2024-01-04,F,20,195
407,2024-01-04,F,21,161
408,2024-01-04,F,22,201
409,2024-01-05,A,6,207
410,2024-01-05,A,7,437
411,2024-01-05,A,8,333
412,2024-01-05,A,9,291
413,2024-01-05,A,10,158
414,2024-01-05,A,11,164
415,2024-01-05,A,12,182
416,2024-01-05,A,13,158
417,2024-01-05,A,14,232
418,2024-01-05,A,15,155
419,2024-01-05,A,16,320
420,2024-01-05,A,17,400
421,2024-01-05,A,18,342
422,2024-01-05,A,19,338
423,2024-01-05,A,20,274
424,2024-01-05,A,21,249
425,2024-01-05,A,22,222
426,2024-01-05,B,6,187
427,2024-01-05,B,7,359
428,2024-01-05,B,8,357
429,2024-01-05,B,9,343
430,2024-01-05,B,10,208
431,2024-01-05,B,11,214
432,2024-01-05,B,12,150
433,2024-01-05,B,13,265
434,2024-01-05,B,14,216
435,2024-01-05,B,15,189
436,2024-01-05,B,16,328
437,2024-01-05,B,17,357
438,2024-01-05,B,18,261
439,2024-01-05,B,19,315
440,2024-01-05,B,20,152
441,2024-01-05,B,21,306
442,2024-01-05,B,22,205
443,2024-01-05,C,6,152
444,2024-01-05,C,7,503
445,2024-01-05,C,8,338
446,2024-01-05,C,9,351
447,2024-01-05,C,10,194
448,2024-01-05,C,11,166
449,2024-01-05,C,12,209
450,2024-01-05,C,13,111
451,2024-01-05,C,14,243
452,2024-01-05,C,15,154
453,2024-01-05,C,16,303
454,2024-01-05,C,17,350
455,2024-01-05,C,18,311
456,2024-01-05,C,19,313
457,2024-01-05,C,20,159
458,2024-01-05,C,21,283
459,2024-01-05,C,22,221
460,2024-01-05,D,6,156
461,2024-01-05,D,7,367
462,2024-01-05,D,8,313
463,2024-01-05,D,9,428
464,2024-01-05,D,10,207
465,2024-01-05,D,11,160
466,2024-01-05,D,12,227
467,2024-01-05,D,13,188
468,2024-01-05,D,14,148
469,2024-01-05,D,15,215
470,2024-01-05,D,16,334
471,2024-01-05,D,17,365
472,2024-01-05,D,18,322
473,2024-01-05,D,19,324
474,2024-01-05,D,20,206
475,2024-01-05,D,21,263
476,2024-01-05,D,22,187
477,2024-01-05,E,6,218
478,2024-01-05,E,7,384
479,2024-01-05,E,8,373
480,2024-01-05,E,9,346
481,2024-01-05,E,10,204
482,2024-01-05,E,11,196
483,2024-01-05,E,12,278
484,2024-01-05,E,13,181
485,2024-01-05,E,14,163
486,2024-01-05,E,15,199
487,2024-01-05,E,16,316
488,2024-01-05,E,17,327
489,2024-01-05,E,18,301
490,2024-01-05,E,19,324
491,2024-01-05,E,20,205
492,2024-01-05,E,21,236
493,2024-01-05,E,22,203
494,2024-01-05,F,6,204
495,2024-01-05,F,7,380
496,2024-01-05,F,8,394
497,2024-01-05,F,9,320
498,2024-01-05,F,10,149
499,2024-01-05,F,11,267
500,2024-01-05,F,12,228
501,2024-01-05,F,13,191
502,2024-01-05,F,14,200
503,2024-01-05,F,15,184
504,2024-01-05,F,16,328
505,2024-01-05,F,17,281
506,2024-01-05,F,18,353
507,2024-01-05,F,19,327
508,2024-01-05,F,20,208
509,2024-01-05,F,21,164
510,2024-01-05,F,22,220
511,2024-01-06,A,6,225
512,2024-01-06,A,7,440
513,2024-01-06,A,8,471
514,2024-01-06,A,9,568
515,2024-01-06,A,10,266
516,2024-01-06,A,11,157
517,2024-01-06,A,12,234
518,2024-01-06,A,13,287
519,2024-01-06,A,14,214
520,2024-01-06,A,15,293
521,2024-01-06,A,16,422
522,2024-01-06,A,17,455
523,2024-01-06,A,18,393
524,2024-01-06,A,19,390
525,2024-01-06,A,20,282
526,2024-01-06,A,21,259
527,2024-01-06,A,22,257
528,2024-01-06,B,6,322
529,2024-01-06,B,7,492
530,2024-01-06,B,8,388
531,2024-01-06,B,9,499
532,2024-01-06,B,10,287
533,2024-01-06,B,11,307
534,2024-01-06,B,12,222
535,2024-01-06,B,13,272
536,2024-01-06,B,14,264
537,2024-01-06,B,15,221
538,2024-01-06,B,16,453
539,2024-01-06,B,17,406
540,2024-01-06,B,18,462
541,2024-01-06,B,19,386
542,2024-01-06,B,20,201
543,2024-01-06,B,21,250
544,2024-01-06,B,22,269
545,2024-01-06,C,6,238
546,2024-01-06,C,7,345
547,2024-01-06,C,8,483
548,2024-01-06,C,9,483
549,2024-01-06,C,10,287
550,2024-01-06,C,11,244
551,2024-01-06,C,12,242
552,2024-01-06,C,13,317
553,2024-01-06,C,14,196
554,2024-01-06,C,15,250
555,2024-01-06,C,16,421
556,2024-01-06,C,17,440
557,2024-01-06,C,18,422
558,2024-01-06,C,19,379
559,2024-01-06,C,20,306
560,2024-01-06,C,21,260
561,2024-01-06,C,22,193
562,2024-01-06,D,6,268
563,2024-01-06,D,7,487
564,2024-01-06,D,8,546
565,2024-01-06,D,9,484
566,2024-01-06,D,10,200
567,2024-01-06,D,11,202
568,2024-01-06,D,12,310
569,2024-01-06,D,13,227
570,2024-01-06,D,14,198
571,2024-01-06,D,15,300
572,2024-01-06,D,16,396
573,2024-01-06,D,17,453
574,2024-01-06,D,18,379
575,2024-01-06,D,19,474
576,2024-01-06,D,20,294
577,2024-01-06,D,21,231
578,2024-01-06,D,22,193
579,2024-01-06,E,6,352
580,2024-01-06,E,7,459
581,2024-01-06,E,8,437
582,2024-01-06,E,9,523
583,2024-01-06,E,10,297
584,2024-01-06,E,11,307
585,2024-01-06,E,12,256
586,2024-01-06,E,13,335
587,2024-01-06,E,14,207
588,2024-01-06,E,15,237
589,2024-01-06,E,16,431
590,2024-01-06,E,17,462
591,2024-01-06,E,18,442
592,2024-01-06,E,19,412
593,2024-01-06,E,20,240
594,2024-01-06,E,21,306
595,2024-01-06,E,22,290
596,2024-01-06,F,6,225
597,2024-01-06,F,7,431
598,2024-01-06,F,8,446
599,2024-01-06,F,9,441
600,2024-01-06,F,10,301
601,2024-01-06,F,11,277
602,2024-01-06,F,12,282
603,2024-01-06,F,13,267
604,2024-01-06,F,14,269
605,2024-01-06,F,15,196
606,2024-01-06,F,16,447
607,2024-01-06,F,17,393
608,2024-01-06,F,18,414
609,2024-01-06,F,19,397
610,2024-01-06,F,20,265
611,2024-01-06,F,21,282
612,2024-01-06,F,22,219
613,2024-01-07,A,6,270
614,2024-01-07,A,7,450
615,2024-01-07,A,8,520
616,2024-01-07,A,9,423
617,2024-01-07,A,10,219
618,2024-01-07,A,11,245
619,2024-01-07,A,12,222
620,2024-01-07,A,13,251
621,2024-01-07,A,14,238
622,2024-01-07,A,15,263
623,2024-01-07,A,16,456
624,2024-01-07,A,17,418
625,2024-01-07,A,18,422
626,2024-01-07,A,19,373
627,2024-01-07,A,20,254
628,2024-01-07,A,21,243
629,2024-01-07,A,22,287
630,2024-01-07,B,6,229
631,2024-01-07,B,7,433
632,2024-01-07,B,8,480
633,2024-01-07,B,9,547
634,2024-01-07,B,10,252
635,2024-01-07,B,11,266
636,2024-01-07,B,12,297
637,2024-01-07,B,13,280
638,2024-01-07,B,14,280
639,2024-01-07,B,15,256
640,2024-01-07,B,16,412
641,2024-01-07,B,17,385
642,2024-01-07,B,18,435
643,2024-01-07,B,19,434
644,2024-01-07,B,20,288
645,2024-01-07,B,21,240
646,2024-01-07,B,22,293
647,2024-01-07,C,6,305
648,2024-01-07,C,7,419
649,2024-01-07,C,8,456
650,2024-01-07,C,9,515
651,2024-01-07,C,10,234
652,2024-01-07,C,11,281
653,2024-01-07,C,12,260
654,2024-01-07,C,13,273
655,2024-01-07,C,14,261
656,2024-01-07,C,15,289
657,2024-01-07,C,16,375
658,2024-01-07,C,17,379
659,2024-01-07,C,18,474
660,2024-01-07,C,19,500
661,2024-01-07,C,20,259
662,2024-01-07,C,21,328
663,2024-01-07,C,22,229
664,2024-01-07,D,6,238
665,2024-01-07,D,7,526
666,2024-01-07,D,8,500
667,2024-01-07,D,9,532
668,2024-01-07,D,10,278
669,2024-01-07,D,11,219
670,2024-01-07,D,12,268
671,2024-01-07,D,13,308
672,2024-01-07,D,14,254
673,2024-01-07,D,15,248
674,2024-01-07,D,16,435
675,2024-01-07,D,17,393
676,2024-01-07,D,18,427
677,2024-01-07,D,19,418
678,2024-01-07,D,20,240
679,2024-01-07,D,21,299
680,2024-01-07,D,22,285
681,2024-01-07,E,6,245
682,2024-01-07,E,7,467
683,2024-01-07,E,8,457
684,2024-01-07,E,9,442
685,2024-01-07,E,10,192
686,2024-01-07,E,11,240
687,2024-01-07,E,12,235
688,2024-01-07,E,13,264
689,2024-01-07,E,14,277
690,2024-01-07,E,15,227
691,2024-01-07,E,16,430
692,2024-01-07,E,17,377
693,2024-01-07,E,18,410
694,2024-01-07,E,19,391
695,2024-01-07,E,20,289
696,2024-01-07,E,21,264
697,2024-01-07,E,22,255
698,2024-01-07,F,6,234
699,2024-01-07,F,7,454
700,2024-01-07,F,8,541
701,2024-01-07,F,9,447
702,2024-01-07,F,10,279
703,2024-01-07,F,11,255
704,2024-01-07,F,12,278
705,2024-01-07,F,13,293
706,2024-01-07,F,14,245
707,2024-01-07,F,15,288
708,2024-01-07,F,16,526
709,2024-01-07,F,17,438
710,2024-01-07,F,18,480
711,2024-01-07,F,19,435
712,2024-01-07,F,20,222
713,2024-01-07,F,21,271
714,2024-01-07,F,22,246
715,2024-01-08,A,6,176
716,2024-01-08,A,7,357
717,2024-01-08,A,8,353
718,2024-01-08,A,9,317
719,2024-01-08,A,10,308
720,2024-01-08,A,11,232
721,2024-01-08,A,12,209
722,2024-01-08,A,13,203
723,2024-01-08,A,14,248
724,2024-01-08,A,15,283
725,2024-01-08,A,16,347
726,2024-01-08,A,17,324
727,2024-01-08,A,18,378
728,2024-01-08,A,19,325
729,2024-01-08,A,20,217
730,2024-01-08,A,21,240
731,2024-01-08,A,22,184
732,2024-01-08,B,6,116
733,2024-01-08,B,7,342
734,2024-01-08,B,8,390
735,2024-01-08,B,9,388
736,2024-01-08,B,10,253
737,2024-01-08,B,11,184
738,2024-01-08,B,12,263
739,2024-01-08,B,13,207
740,2024-01-08,B,14,224
741,2024-01-08,B,15,236
742,2024-01-08,B,16,264
743,2024-01-08,B,17,279
744,2024-01-08,B,18,278
745,2024-01-08,B,19,362
746,2024-01-08,B,20,187
747,2024-01-08,B,21,281
748,2024-01-08,B,22,200
749,2024-01-08,C,6,141
750,2024-01-08,C,7,333
751,2024-01-08,C,8,364
752,2024-01-08,C,9,380
753,2024-01-08,C,10,160
754,2024-01-08,C,11,222
755,2024-01-08,C,12,233
756,2024-01-08,C,13,174
757,2024-01-08,C,14,278
758,2024-01-08,C,15,178
759,2024-01-08,C,16,280
760,2024-01-08,C,17,258
761,2024-01-08,C,18,368
762,2024-01-08,C,19,320
763,2024-01-08,C,20,180
764,2024-01-08,C,21,141
765,2024-01-08,C,22,184
766,2024-01-08,D,6,295
767,2024-01-08,D,7,274
768,2024-01-08,D,8,334
769,2024-01-08,D,9,431
770,2024-01-08,D,10,249
771,2024-01-08,D,11,177
772,2024-01-08,D,12,208
773,2024-01-08,D,13,218
774,2024-01-08,D,14,205
775,2024-01-08,D,15,271
776,2024-01-08,D,16,333
777,2024-01-08,D,17,365
778,2024-01-08,D,18,327
779,2024-01-08,D,19,238
780,2024-01-08,D,20,152
781,2024-01-08,D,21,160
782,2024-01-08,D,22,190
783,2024-01-08,E,6,283
784,2024-01-08,E,7,374
785,2024-01-08,E,8,355
786,2024-01-08,E,9,409
787,2024-01-08,E,10,141
788,2024-01-08,E,11,180
789,2024-01-08,E,12,174
790,2024-01-08,E,13,215
791,2024-01-08,E,14,235
792,2024-01-08,E,15,218
793,2024-01-08,E,16,339
794,2024-01-08,E,17,305
795,2024-01-08,E,18,332
796,2024-01-08,E,19,286
797,2024-01-08,E,20,226
798,2024-01-08,E,21,179
799,2024-01-08,E,22,155
800,2024-01-08,F,6,201
801,2024-01-08,F,7,283
802,2024-01-08,F,8,418
803,2024-01-08,F,9,391
804,2024-01-08,F,10,213
805,2024-01-08,F,11,135
806,2024-01-08,F,12,171
807,2024-01-08,F,13,201
808,2024-01-08,F,14,189
809,2024-01-08,F,15,132
810,2024-01-08,F,16,267
811,2024-01-08,F,17,308
812,2024-01-08,F,18,268
813,2024-01-08,F,19,374
814,2024-01-08,F,20,219
815,2024-01-08,F,21,167
816,2024-01-08,F,22,246
817,2024-01-09,A,6,238
818,2024-01-09,A,7,371
819,2024-01-09,A,8,358
820,2024-01-09,A,9,348
821,2024-01-09,A,10,178
822,2024-01-09,A,11,146
823,2024-01-09,A,12,261
824,2024-01-09,A,13,179
825,2024-01-09,A,14,201
826,2024-01-09,A,15,163
827,2024-01-09,A,16,309
828,2024-01-09,A,17,434
829,2024-01-09,A,18,290
830,2024-01-09,A,19,377
831,2024-01-09,A,20,198
832,2024-01-09,A,21,227
833,2024-01-09,A,22,249
834,2024-01-09,B,6,210
835,2024-01-09,B,7,345
836,2024-01-09,B,8,352
837,2024-01-09,B,9,353
838,2024-01-09,B,10,274
839,2024-01-09,B,11,140
840,2024-01-09,B,12,129
841,2024-01-09,B,13,131
842,2024-01-09,B,14,164
843,2024-01-09,B,15,228
844,2024-01-09,B,16,350
845,2024-01-09,B,17,295
846,2024-01-09,B,18,318
847,2024-01-09,B,19,275
848,2024-01-09,B,20,159
849,2024-01-09,B,21,223
850,2024-01-09,B,22,241
851,2024-01-09,C,6,180
852,2024-01-09,C,7,425
853,2024-01-09,C,8,398
854,2024-01-09,C,9,423
855,2024-01-09,C,10,187
856,2024-01-09,C,11,260
857,2024-01-09,C,12,287
858,2024-01-09,C,13,183
859,2024-01-09,C,14,193
860,2024-01-09,C,15,162
861,2024-01-09,C,16,274
862,2024-01-09,C,17,274
863,2024-01-09,C,18,287
864,2024-01-09,C,19,330
865,2024-01-09,C,20,169
866,2024-01-09,C,21,209
867,2024-01-09,C,22,210
868,2024-01-09,D,6,181
869,2024-01-09,D,7,357
870,2024-01-09,D,8,338
871,2024-01-09,D,9,347
872,2024-01-09,D,10,167
873,2024-01-09,D,11,203
874,2024-01-09,D,12,175
875,2024-01-09,D,13,153
876,2024-01-09,D,14,223
877,2024-01-09,D,15,225
878,2024-01-09,D,16,364
879,2024-01-09,D,17,279
880,2024-01-09,D,18,300
881,2024-01-09,D,19,329
882,2024-01-09,D,20,179
883,2024-01-09,D,21,222
884,2024-01-09,D,22,219
885,2024-01-09,E,6,219
886,2024-01-09,E,7,418
887,2024-01-09,E,8,385
888,2024-01-09,E,9,366
889,2024-01-09,E,10,192
890,2024-01-09,E,11,195
891,2024-01-09,E,12,157
892,2024-01-09,E,13,129
893,2024-01-09,E,14,218
894,2024-01-09,E,15,248
895,2024-01-09,E,16,306
896,2024-01-09,E,17,383
897,2024-01-09,E,18,312
898,2024-01-09,E,19,241
899,2024-01-09,E,20,236
900,2024-01-09,E,21,180
901,2024-01-09,E,22,240
902,2024-01-09,F,6,148
903,2024-01-09,F,7,376
904,2024-01-09,F,8,327
905,2024-01-09,F,9,368
906,2024-01-09,F,10,230
907,2024-01-09,F,11,221
908,2024-01-09,F,12,202
909,2024-01-09,F,13,144
910,2024-01-09,F,14,229
911,2024-01-09,F,15,241
912,2024-01-09,F,16,278
913,2024-01-09,F,17,284
914,2024-01-09,F,18,362
915,2024-01-09,F,19,311
916,2024-01-09,F,20,165
917,2024-01-09,F,21,210
918,2024-01-09,F,22,174
919,2024-01-10,A,6,206
920,2024-01-10,A,7,343
921,2024-01-10,A,8,346
922,2024-01-10,A,9,404
923,2024-01-10,A,10,101
924,2024-01-10,A,11,222
925,2024-01-10,A,12,237
926,2024-01-10,A,13,175
927,2024-01-10,A,14,237
928,2024-01-10,A,15,161
929,2024-01-10,A,16,293
930,2024-01-10,A,17,288
931,2024-01-10,A,18,358
