date,terminal,hour,passenger_count
2024-01-02,D,7,390
2024-01-02,D,8,306
2024-01-02,D,9,404
2024-01-02,D,10,194
2024-01-02,D,11,224
2024-01-02,D,12,138
2024-01-02,D,13,184
2024-01-02,D,14,200
2024-01-02,D,15,241
2024-01-02,D,16,347
2024-01-02,D,17,304
2024-01-02,D,18,332
2024-01-02,D,19,370
2024-01-02,D,20,192
2024-01-02,D,21,187
2024-01-02,D,22,124
2024-01-02,E,6,188
2024-01-02,E,7,290
2024-01-02,E,8,355
2024-01-02,E,9,399
2024-01-02,E,10,115
2024-01-02,E,11,249
2024-01-02,E,12,186
2024-01-02,E,13,198
2024-01-02,E,14,179
2024-01-02,E,15,131
2024-01-02,E,16,288
2024-01-02,E,17,403
2024-01-02,E,18,276
2024-01-02,E,19,256
2024-01-02,E,20,205
2024-01-02,E,21,196
2024-01-02,E,22,187
2024-01-02,F,6,200
2024-01-02,F,7,385
2024-01-02,F,8,336
2024-01-02,F,9,367
2024-01-02,F,10,240
2024-01-02,F,11,160
2024-01-02,F,12,107
2024-01-02,F,13,226
2024-01-02,F,14,300
2024-01-02,F,15,199
2024-01-02,F,16,328
2024-01-02,F,17,308
2024-01-02,F,18,383
2024-01-02,F,19,316
2024-01-02,F,20,192
2024-01-02,F,21,236
2024-01-02,F,22,180
2024-01-03,A,6,148
2024-01-03,A,7,395
2024-01-03,A,8,336
2024-01-03,A,9,320
2024-01-03,A,10,284
2024-01-03,A,11,192
2024-01-03,A,12,219
2024-01-03,A,13,201
2024-01-03,A,14,164
2024-01-03,A,15,227
2024-01-03,A,16,332
2024-01-03,A,17,293
2024-01-03,A,18,337
2024-01-03,A,19,299
2024-01-03,A,20,155
2024-01-03,A,21,151
2024-01-03,A,22,210
2024-01-03,B,6,184
2024-01-03,B,7,420
2024-01-03,B,8,358
2024-01-03,B,9,328
2024-01-03,B,10,206
2024-01-03,B,11,148
2024-01-03,B,12,196
2024-01-03,B,13,212
2024-01-03,B,14,207
2024-01-03,B,15,252
2024-01-03,B,16,423
2024-01-03,B,17,346
2024-01-03,B,18,367
2024-01-03,B,19,421
2024-01-03,B,20,159
2024-01-03,B,21,205
2024-01-03,B,22,180
2024-01-03,C,6,233
2024-01-03,C,7,370
2024-01-03,C,8,327
2024-01-03,C,9,360
2024-01-03,C,10,241
2024-01-03,C,11,147
2024-01-03,C,12,168
2024-01-03,C,13,162
2024-01-03,C,14,213
2024-01-03,C,15,249
2024-01-03,C,16,239
2024-01-03,C,17,323
2024-01-03,C,18,283
2024-01-03,C,19,360
2024-01-03,C,20,190
2024-01-03,C,21,205
2024-01-03,C,22,199
2024-01-03,D,6,244
2024-01-03,D,7,441
2024-01-03,D,8,314
2024-01-03,D,9,321
2024-01-03,D,10,212
2024-01-03,D,11,167
2024-01-03,D,12,237
2024-01-03,D,13,243
2024-01-03,D,14,178
2024-01-03,D,15,169
2024-01-03,D,16,309
2024-01-03,D,17,324
2024-01-03,D,18,332
2024-01-03,D,19,229
2024-01-03,D,20,161
2024-01-03,D,21,183
2024-01-03,D,22,168
2024-01-03,E,6,85
2024-01-03,E,7,284
2024-01-03,E,8,307
2024-01-03,E,9,355
2024-01-03,E,10,182
2024-01-03,E,11,174
2024-01-03,E,12,231
2024-01-03,E,13,231
2024-01-03,E,14,205
2024-01-03,E,15,204
2024-01-03,E,16,285
2024-01-03,E,17,290
2024-01-03,E,18,251
2024-01-03,E,19,309
2024-01-03,E,20,231
2024-01-03,E,21,254
2024-01-03,E,22,190
2024-01-03,F,6,219
2024-01-03,F,7,245
2024-01-03,F,8,342
2024-01-03,F,9,341
2024-01-03,F,10,259
2024-01-03,F,11,215
2024-01-03,F,12,219
2024-01-03,F,13,217
2024-01-03,F,14,201
2024-01-03,F,15,261
2024-01-03,F,16,227
2024-01-03,F,17,325
2024-01-03,F,18,365
2024-01-03,F,19,244
2024-01-03,F,20,233
2024-01-03,F,21,169
2024-01-03,F,22,204
2024-01-04,A,6,168
2024-01-04,A,7,398
2024-01-04,A,8,348
2024-01-04,A,9,393
2024-01-04,A,10,217
2024-01-04,A,11,168
2024-01-04,A,12,220
2024-01-04,A,13,173
2024-01-04,A,14,202
2024-01-04,A,15,187
2024-01-04,A,16,355
2024-01-04,A,17,341
2024-01-04,A,18,318
2024-01-04,A,19,292
2024-01-04,A,20,149
2024-01-04,A,21,205
2024-01-04,A,22,174
2024-01-04,B,6,124
2024-01-04,B,7,306
2024-01-04,B,8,425
2024-01-04,B,9,333
2024-01-04,B,10,243
2024-01-04,B,11,185
2024-01-04,B,12,249
2024-01-04,B,13,246
2024-01-04,B,14,166
2024-01-04,B,15,120
2024-01-04,B,16,243
2024-01-04,B,17,287
2024-01-04,B,18,395
2024-01-04,B,19,303
2024-01-04,B,20,205
2024-01-04,B,21,252
2024-01-04,B,22,204
2024-01-04,C,6,203
2024-01-04,C,7,384
2024-01-04,C,8,371
2024-01-04,C,9,356
2024-01-04,C,10,171
2024-01-04,C,11,203
2024-01-04,C,12,243
2024-01-04,C,13,271
2024-01-04,C,14,211
2024-01-04,C,15,230
2024-01-04,C,16,330
2024-01-04,C,17,316
2024-01-04,C,18,340
2024-01-04,C,19,367
2024-01-04,C,20,164
2024-01-04,C,21,141
2024-01-04,C,22,178
2024-01-04,D,6,208
2024-01-04,D,7,394
2024-01-04,D,8,320
2024-01-04,D,9,260
2024-01-04,D,10,179
2024-01-04,D,11,192
2024-01-04,D,12,153
2024-01-04,D,13,169
2024-01-04,D,14,234
2024-01-04,D,15,203
2024-01-04,D,16,333
2024-01-04,D,17,305
2024-01-04,D,18,289
2024-01-04,D,19,305
2024-01-04,D,20,219
2024-01-04,D,21,140
2024-01-04,D,22,266
2024-01-04,E,6,222
2024-01-04,E,7,338
2024-01-04,E,8,392
2024-01-04,E,9,408
2024-01-04,E,10,186
2024-01-04,E,11,191
2024-01-04,E,12,259
2024-01-04,E,13,284
2024-01-04,E,14,201
2024-01-04,E,15,153
2024-01-04,E,16,301
2024-01-04,E,17,361
2024-01-04,E,18,278
2024-01-04,E,19,311
2024-01-04,E,20,211
2024-01-04,E,21,163
2024-01-04,E,22,243
2024-01-04,F,6,227
2024-01-04,F,7,440
2024-01-04,F,8,391
2024-01-04,F,9,321
2024-01-04,F,10,221
2024-01-04,F,11,239
2024-01-04,F,12,241
2024-01-04,F,13,168
2024-01-04,F,14,164
2024-01-04,F,15,154
2024-01-04,F,16,384
2024-01-04,F,17,344
2024-01-04,F,18,287
2024-01-04,F,19,325
2024-01-04,F,20,195
2024-01-04,F,21,161
2024-01-04,F,22,201
2024-01-05,A,6,207
2024-01-05,A,7,437
2024-01-05,A,8,333
2024-01-05,A,9,291
2024-01-05,A,10,158
2024-01-05,A,11,164
2024-01-05,A,12,182
2024-01-05,A,13,158
2024-01-05,A,14,232
2024-01-05,A,15,155
2024-01-05,A,16,320
2024-01-05,A,17,400
2024-01-05,A,18,342
2024-01-05,A,19,338
2024-01-05,A,20,274
2024-01-05,A,21,249
2024-01-05,A,22,222
2024-01-05,B,6,187
2024-01-05,B,7,359
2024-01-05,B,8,357
2024-01-05,B,9,343
2024-01-05,B,10,208
2024-01-05,B,11,214
2024-01-05,B,12,150
2024-01-05,B,13,265
2024-01-05,B,14,216
2024-01-05,B,15,189
2024-01-05,B,16,328
2024-01-05,B,17,357
2024-01-05,B,18,261
2024-01-05,B,19,315
2024-01-05,B,20,152
2024-01-05,B,21,306
2024-01-05,B,22,205
2024-01-05,C,6,152
2024-01-05,C,7,503
2024-01-05,C,8,338
2024-01-05,C,9,351
2024-01-05,C,10,194
2024-01-05,C,11,166
2024-01-05,C,12,209
2024-01-05,C,13,111
2024-01-05,C,14,243
2024-01-05,C,15,154
2024-01-05,C,16,303
2024-01-05,C,17,350
2024-01-05,C,18,311
2024-01-05,C,19,313
2024-01-05,C,20,159
2024-01-05,C,21,283
2024-01-05,C,22,221
2024-01-05,D,6,156
2024-01-05,D,7,367
2024-01-05,D,8,313
2024-01-05,D,9,428
2024-01-05,D,10,207
2024-01-05,D,11,160
2024-01-05,D,12,227
2024-01-05,D,13,188
2024-01-05,D,14,148
2024-01-05,D,15,215
2024-01-05,D,16,334
2024-01-05,D,17,365
2024-01-05,D,18,322
2024-01-05,D,19,324
2024-01-05,D,20,206
2024-01-05,D,21,263
2024-01-05,D,22,187
2024-01-05,E,6,218
2024-01-05,E,7,384
2024-01-05,E,8,373
2024-01-05,E,9,346
2024-01-05,E,10,204
2024-01-05,E,11,196
2024-01-05,E,12,278
2024-01-05,E,13,181
2024-01-05,E,14,163
2024-01-05,E,15,199
2024-01-05,E,16,316
2024-01-05,E,17,327
2024-01-05,E,18,301
2024-01-05,E,19,324
2024-01-05,E,20,205
2024-01-05,E,21,236
2024-01-05,E,22,203
2024-01-05,F,6,204
2024-01-05,F,7,380
2024-01-05,F,8,394
2024-01-05,F,9,320
2024-01-05,F,10,149
2024-01-05,F,11,267
2024-01-05,F,12,228
2024-01-05,F,13,191
2024-01-05,F,14,200
2024-01-05,F,15,184
2024-01-05,F,16,328
2024-01-05,F,17,281
2024-01-05,F,18,353
2024-01-05,F,19,327
2024-01-05,F,20,208
2024-01-05,F,21,164
2024-01-05,F,22,220
2024-01-06,A,6,225
2024-01-06,A,7,440
2024-01-06,A,8,471
2024-01-06,A,9,568
2024-01-06,A,10,266
2024-01-06,A,11,157
2024-01-06,A,12,234
2024-01-06,A,13,287
2024-01-06,A,14,214
2024-01-06,A,15,293
2024-01-06,A,16,422
2024-01-06,A,17,455
2024-01-06,A,18,393
2024-01-06,A,19,390
2024-01-06,A,20,282
2024-01-06,A,21,259
2024-01-06,A,22,257
2024-01-06,B,6,322
2024-01-06,B,7,492
2024-01-06,B,8,388
2024-01-06,B,9,499
2024-01-06,B,10,287
2024-01-06,B,11,307
2024-01-06,B,12,222
2024-01-06,B,13,272
2024-01-06,B,14,264
2024-01-06,B,15,221
2024-01-06,B,16,453
2024-01-06,B,17,406
2024-01-06,B,18,462
2024-01-06,B,19,386
2024-01-06,B,20,201
2024-01-06,B,21,250
2024-01-06,B,22,269
2024-01-06,C,6,238
2024-01-06,C,7,345
2024-01-06,C,8,483
2024-01-06,C,9,483
2024-01-06,C,10,287
2024-01-06,C,11,244
2024-01-06,C,12,242
2024-01-06,C,13,317
2024-01-06,C,14,196
2024-01-06,C,15,250
2024-01-06,C,16,421
2024-01-06,C,17,440
2024-01-06,C,18,422
2024-01-06,C,19,379
2024-01-06,C,20,306
2024-01-06,C,21,260
2024-01-06,C,22,193
2024-01-06,D,6,268
2024-01-06,D,7,487
2024-01-06,D,8,546
2024-01-06,D,9,484
2024-01-06,D,10,200
2024-01-06,D,11,202
2024-01-06,D,12,310
2024-01-06,D,13,227
2024-01-06,D,14,198
2024-01-06,D,15,300
2024-01-06,D,16,396
2024-01-06,D,17,453
2024-01-06,D,18,379
2024-01-06,D,19,474
2024-01-06,D,20,294
2024-01-06,D,21,231
2024-01-06,D,22,193
2024-01-06,E,6,352
2024-01-06,E,7,459
2024-01-06,E,8,437
2024-01-06,E,9,523
2024-01-06,E,10,297
2024-01-06,E,11,307
2024-01-06,E,12,256
2024-01-06,E,13,335
2024-01-06,E,14,207
2024-01-06,E,15,237
2024-01-06,E,16,431
2024-01-06,E,17,462
2024-01-06,E,18,442
2024-01-06,E,19,412
2024-01-06,E,20,240
2024-01-06,E,21,306
2024-01-06,E,22,290
2024-01-06,F,6,225
2024-01-06,F,7,431
2024-01-06,F,8,446
2024-01-06,F,9,441
2024-01-06,F,10,301
2024-01-06,F,11,277
2024-01-06,F,12,282
2024-01-06,F,13,267
2024-01-06,F,14,269
2024-01-06,F,15,196
2024-01-06,F,16,447
2024-01-06,F,17,393
2024-01-06,F,18,414
2024-01-06,F,19,397
2024-01-06,F,20,265
2024-01-06,F,21,282
2024-01-06,F,22,219
2024-01-07,A,6,270
2024-01-07,A,7,450
2024-01-07,A,8,520
2024-01-07,A,9,423
2024-01-07,A,10,219
2024-01-07,A,11,245
2024-01-07,A,12,222
2024-01-07,A,13,251
2024-01-07,A,14,238
2024-01-07,A,15,263
2024-01-07,A,16,456
2024-01-07,A,17,418
2024-01-07,A,18,422
2024-01-07,A,19,373
2024-01-07,A,20,254
2024-01-07,A,21,243
2024-01-07,A,22,287
2024-01-07,B,6,229
2024-01-07,B,7,433
2024-01-07,B,8,480
2024-01-07,B,9,547
2024-01-07,B,10,252
2024-01-07,B,11,266
2024-01-07,B,12,297
2024-01-07,B,13,280
2024-01-07,B,14,280
2024-01-07,B,15,256
2024-01-07,B,16,412
2024-01-07,B,17,385
2024-01-07,B,18,435
2024-01-07,B,19,434
2024-01-07,B,20,288
2024-01-07,B,21,240
2024-01-07,B,22,293
2024-01-07,C,6,305
2024-01-07,C,7,419
2024-01-07,C,8,456
2024-01-07,C,9,515
2024-01-07,C,10,234
2024-01-07,C,11,281
2024-01-07,C,12,260
2024-01-07,C,13,273
2024-01-07,C,14,261
2024-01-07,C,15,289
2024-01-07,C,16,375
2024-01-07,C,17,379
2024-01-07,C,18,474
2024-01-07,C,19,500
2024-01-07,C,20,259
2024-01-07,C,21,328
2024-01-07,C,22,229
2024-01-07,D,6,238
2024-01-07,D,7,526
2024-01-07,D,8,500
2024-01-07,D,9,532
2024-01-07,D,10,278
2024-01-07,D,11,219
2024-01-07,D,12,268
2024-01-07,D,13,308
2024-01-07,D,14,254
2024-01-07,D,15,248
2024-01-07,D,16,435
2024-01-07,D,17,393
2024-01-07,D,18,427
2024-01-07,D,19,418
2024-01-07,D,20,240
2024-01-07,D,21,299
2024-01-07,D,22,285
2024-01-07,E,6,245
2024-01-07,E,7,467
2024-01-07,E,8,457
2024-01-07,E,9,442
2024-01-07,E,10,192
2024-01-07,E,11,240
2024-01-07,E,12,235
2024-01-07,E,13,264
2024-01-07,E,14,277
2024-01-07,E,15,227
2024-01-07,E,16,430
2024-01-07,E,17,377
2024-01-07,E,18,410
2024-01-07,E,19,391
2024-01-07,E,20,289
2024-01-07,E,21,264
2024-01-07,E,22,255
2024-01-07,F,6,234
2024-01-07,F,7,454
2024-01-07,F,8,541
2024-01-07,F,9,447
2024-01-07,F,10,279
2024-01-07,F,11,255
2024-01-07,F,12,278
2024-01-07,F,13,293
2024-01-07,F,14,245
2024-01-07,F,15,288
2024-01-07,F,16,526
2024-01-07,F,17,438
2024-01-07,F,18,480
2024-01-07,F,19,435
2024-01-07,F,20,222
2024-01-07,F,21,271
2024-01-07,F,22,246
2024-01-08,A,6,176
2024-01-08,A,7,357
2024-01-08,A,8,353
2024-01-08,A,9,317
2024-01-08,A,10,308
2024-01-08,A,11,232
2024-01-08,A,12,209
2024-01-08,A,13,203
2024-01-08,A,14,248
2024-01-08,A,15,283
2024-01-08,A,16,347
2024-01-08,A,17,324
2024-01-08,A,18,378
2024-01-08,A,19,325
2024-01-08,A,20,217
2024-01-08,A,21,240
2024-01-08,A,22,184
2024-01-08,B,6,116
2024-01-08,B,7,342
2024-01-08,B,8,390
2024-01-08,B,9,388
2024-01-08,B,10,253
2024-01-08,B,11,184
2024-01-08,B,12,263
2024-01-08,B,13,207
2024-01-08,B,14,224
2024-01-08,B,15,236
2024-01-08,B,16,264
2024-01-08,B,17,279
2024-01-08,B,18,278
2024-01-08,B,19,362
2024-01-08,B,20,187
2024-01-08,B,21,281
2024-01-08,B,22,200
2024-01-08,C,6,141
2024-01-08,C,7,333
2024-01-08,C,8,364
2024-01-08,C,9,380
2024-01-08,C,10,160
2024-01-08,C,11,222
2024-01-08,C,12,233
2024-01-08,C,13,174
2024-01-08,C,14,278
2024-01-08,C,15,178
2024-01-08,C,16,280
2024-01-08,C,17,258
2024-01-08,C,18,368
2024-01-08,C,19,320
2024-01-08,C,20,180
2024-01-08,C,21,141
2024-01-08,C,22,184
2024-01-08,D,6,295
2024-01-08,D,7,274
2024-01-08,D,8,334
2024-01-08,D,9,431
2024-01-08,D,10,249
2024-01-08,D,11,177
2024-01-08,D,12,208
2024-01-08,D,13,218
2024-01-08,D,14,205
2024-01-08,D,15,271
2024-01-08,D,16,333
2024-01-08,D,17,365
2024-01-08,D,18,327
2024-01-08,D,19,238
2024-01-08,D,20,152
2024-01-08,D,21,160
2024-01-08,D,22,190
2024-01-08,E,6,283
2024-01-08,E,7,374
2024-01-08,E,8,355
2024-01-08,E,9,409
2024-01-08,E,10,141
2024-01-08,E,11,180
2024-01-08,E,12,174
2024-01-08,E,13,215
2024-01-08,E,14,235
2024-01-08,E,15,218
2024-01-08,E,16,339
2024-01-08,E,17,305
2024-01-08,E,18,332
2024-01-08,E,19,286
2024-01-08,E,20,226
2024-01-08,E,21,179
2024-01-08,E,22,155
2024-01-08,F,6,201
2024-01-08,F,7,283
2024-01-08,F,8,418
2024-01-08,F,9,391
2024-01-08,F,10,213
2024-01-08,F,11,135
2024-01-08,F,12,171
2024-01-08,F,13,201
2024-01-08,F,14,189
2024-01-08,F,15,132
2024-01-08,F,16,267
2024-01-08,F,17,308
2024-01-08,F,18,268
2024-01-08,F,19,374
2024-01-08,F,20,219
2024-01-08,F,21,167
2024-01-08,F,22,246
2024-01-09,A,6,238
2024-01-09,A,7,371
2024-01-09,A,8,358
2024-01-09,A,9,348
2024-01-09,A,10,178
2024-01-09,A,11,146
2024-01-09,A,12,261
2024-01-09,A,13,179
2024-01-09,A,14,201
2024-01-09,A,15,163
2024-01-09,A,16,309
2024-01-09,A,17,434
2024-01-09,A,18,290
2024-01-09,A,19,377
2024-01-09,A,20,198
2024-01-09,A,21,227
2024-01-09,A,22,249
2024-01-09,B,6,210
2024-01-09,B,7,345
2024-01-09,B,8,352
2024-01-09,B,9,353
2024-01-09,B,10,274
2024-01-09,B,11,140
2024-01-09,B,12,129
2024-01-09,B,13,131
2024-01-09,B,14,164
2024-01-09,B,15,228
2024-01-09,B,16,350
2024-01-09,B,17,295
2024-01-09,B,18,318
2024-01-09,B,19,275
2024-01-09,B,20,159
2024-01-09,B,21,223
2024-01-09,B,22,241
2024-01-09,C,6,180
2024-01-09,C,7,425
2024-01-09,C,8,398
2024-01-09,C,9,423
2024-01-09,C,10,187
2024-01-09,C,11,260
2024-01-09,C,12,287
2024-01-09,C,13,183
2024-01-09,C,14,193
2024-01-09,C,15,162
2024-01-09,C,16,274
2024-01-09,C,17,274
2024-01-09,C,18,287
2024-01-09,C,19,330
2024-01-09,C,20,169
2024-01-09,C,21,209
2024-01-09,C,22,210
2024-01-09,D,6,181
2024-01-09,D,7,357
2024-01-09,D,8,338
2024-01-09,D,9,347
2024-01-09,D,10,167
2024-01-09,D,11,203
2024-01-09,D,12,175
2024-01-09,D,13,153
2024-01-09,D,14,223
2024-01-09,D,15,225
2024-01-09,D,16,364
2024-01-09,D,17,279
2024-01-09,D,18,300
2024-01-09,D,19,329
2024-01-09,D,20,179
2024-01-09,D,21,222
2024-01-09,D,22,219
2024-01-09,E,6,219
2024-01-09,E,7,418
2024-01-09,E,8,385
2024-01-09,E,9,366
2024-01-09,E,10,192
2024-01-09,E,11,195
2024-01-09,E,12,157
2024-01-09,E,13,129
2024-01-09,E,14,218
2024-01-09,E,15,248
2024-01-09,E,16,306
2024-01-09,E,17,383
2024-01-09,E,18,312
2024-01-09,E,19,241
2024-01-09,E,20,236
2024-01-09,E,21,180
2024-01-09,E,22,240
2024-01-09,F,6,148
2024-01-09,F,7,376
2024-01-09,F,8,327
2024-01-09,F,9,368
2024-01-09,F,10,230
2024-01-09,F,11,221
2024-01-09,F,12,202
2024-01-09,F,13,144
2024-01-09,F,14,229
2024-01-09,F,15,241
2024-01-09,F,16,278
2024-01-09,F,17,284
2024-01-09,F,18,362
2024-01-09,F,19,311
2024-01-09,F,20,165
2024-01-09,F,21,210
2024-01-09,F,22,174
2024-01-10,A,6,206
2024-01-10,A,7,343
2024-01-10,A,8,346
2024-01-10,A,9,404
2024-01-10,A,10,101
2024-01-10,A,11,222
2024-01-10,A,12,237
2024-01-10,A,13,175
2024-01-10,A,14,237
2024-01-10,A,15,161
2024-01-10,A,16,293
2024-01-10,A,17,288
2024-01-10,A,18,358
2024-01-10,A,19,250
2024-01-10,A,20,265
2024-01-10,A,21,187
2024-01-10,A,22,224
2024-01-10,B,6,221
2024-01-10,B,7,366
2024-01-10,B,8,335
2024-01-10,B,9,409
2024-01-10,B,10,179
2024-01-10,B,11,170
2024-01-10,B,12,235
2024-01-10,B,13,205
2024-01-10,B,14,254
2024-01-10,B,15,197
2024-01-10,B,16,293
2024-01-10,B,17,330
2024-01-10,B,18,302
2024-01-10,B,19,295
2024-01-10,B,20,233
2024-01-10,B,21,273
2024-01-10,B,22,190
2024-01-10,C,6,161
2024-01-10,C,7,353
2024-01-10,C,8,380
2024-01-10,C,9,370
2024-01-10,C,10,247
2024-01-10,C,11,226
2024-01-10,C,12,155
2024-01-10,C,13,180
2024-01-10,C,14,144
2024-01-10,C,15,245
2024-01-10,C,16,240
2024-01-10,C,17,268
2024-01-10,C,18,299
2024-01-10,C,19,342
2024-01-10,C,20,179
2024-01-10,C,21,185
2024-01-10,C,22,186
2024-01-10,D,6,206
2024-01-10,D,7,311
2024-01-10,D,8,322
2024-01-10,D,9,427
2024-01-10,D,10,216
2024-01-10,D,11,230
2024-01-10,D,12,202
2024-01-10,D,13,194
2024-01-10,D,14,218
2024-01-10,D,15,229
2024-01-10,D,16,353
2024-01-10,D,17,314
2024-01-10,D,18,358
2024-01-10,D,19,221
2024-01-10,D,20,235
2024-01-10,D,21,182
2024-01-10,D,22,222
2024-01-10,E,6,174
2024-01-10,E,7,306
2024-01-10,E,8,373
2024-01-10,E,9,299
2024-01-10,E,10,184
2024-01-10,E,11,167
2024-01-10,E,12,192
2024-01-10,E,13,231
2024-01-10,E,14,180
2024-01-10,E,15,212
2024-01-10,E,16,349
2024-01-10,E,17,295
2024-01-10,E,18,296
2024-01-10,E,19,374
2024-01-10,E,20,196
2024-01-10,E,21,220
2024-01-10,E,22,220
2024-01-10,F,6,152
2024-01-10,F,7,329
2024-01-10,F,8,375
2024-01-10,F,9,277
2024-01-10,F,10,191
2024-01-10,F,11,165
2024-01-10,F,12,244
2024-01-10,F,13,213
2024-01-10,F,14,247
2024-01-10,F,15,198
2024-01-10,F,16,315
2024-01-10,F,17,307
2024-01-10,F,18,299
2024-01-10,F,19,427
2024-01-10,F,20,232
2024-01-10,F,21,157
2024-01-10,F,22,305
2024-01-11,A,6,183
2024-01-11,A,7,372
2024-01-11,A,8,397
2024-01-11,A,9,298
2024-01-11,A,10,166
2024-01-11,A,11,265
2024-01-11,A,12,191
2024-01-11,A,13,239
2024-01-11,A,14,181
2024-01-11,A,15,196
2024-01-11,A,16,391
2024-01-11,A,17,337
2024-01-11,A,18,306
2024-01-11,A,19,292
2024-01-11,A,20,176
2024-01-11,A,21,249
2024-01-11,A,22,230
2024-01-11,B,6,154
2024-01-11,B,7,363
2024-01-11,B,8,357
2024-01-11,B,9,372
2024-01-11,B,10,175
2024-01-11,B,11,243
2024-01-11,B,12,199
2024-01-11,B,13,214
2024-01-11,B,14,168
2024-01-11,B,15,170
2024-01-11,B,16,426
2024-01-11,B,17,392
2024-01-11,B,18,317
2024-01-11,B,19,381
2024-01-11,B,20,248
2024-01-11,B,21,174
2024-01-11,B,22,171
2024-01-11,C,6,226
2024-01-11,C,7,370
2024-01-11,C,8,343
2024-01-11,C,9,388
2024-01-11,C,10,142
2024-01-11,C,11,204
2024-01-11,C,12,150
2024-01-11,C,13,151
2024-01-11,C,14,171
2024-01-11,C,15,214
2024-01-11,C,16,292
2024-01-11,C,17,271
2024-01-11,C,18,339
2024-01-11,C,19,379
2024-01-11,C,20,225
2024-01-11,C,21,272
2024-01-11,C,22,256
2024-01-11,D,6,180
2024-01-11,D,7,385
2024-01-11,D,8,356
