date,terminal,hour,wait_time_minutes
2024-01-02,E,13,17.2
2024-01-02,E,14,11.0
2024-01-02,E,15,11.0
2024-01-02,E,16,30.5
2024-01-02,E,17,56.1
2024-01-02,E,18,34.9
2024-01-02,E,19,30.6
2024-01-02,E,20,11.4
2024-01-02,E,21,16.7
2024-01-02,E,22,13.3
2024-01-02,F,6,18.1
2024-01-02,F,7,42.1
2024-01-02,F,8,34.7
2024-01-02,F,9,38.4
2024-01-02,F,10,18.1
2024-01-02,F,11,10.2
2024-01-02,F,12,7.0
2024-01-02,F,13,17.2
2024-01-02,F,14,29.6
2024-01-02,F,15,17.6
2024-01-02,F,16,41.2
2024-01-02,F,17,40.7
2024-01-02,F,18,44.7
2024-01-02,F,19,33.0
2024-01-02,F,20,14.4
2024-01-02,F,21,16.5
2024-01-02,F,22,16.2
2024-01-03,A,6,10.2
2024-01-03,A,7,58.1
2024-01-03,A,8,32.5
2024-01-03,A,9,42.4
2024-01-03,A,10,26.9
2024-01-03,A,11,16.8
2024-01-03,A,12,21.8
2024-01-03,A,13,15.6
2024-01-03,A,14,13.4
2024-01-03,A,15,18.8
2024-01-03,A,16,40.5
2024-01-03,A,17,23.9
2024-01-03,A,18,37.1
2024-01-03,A,19,37.8
2024-01-03,A,20,11.7
2024-01-03,A,21,15.6
2024-01-03,A,22,17.1
2024-01-03,B,6,15.9
2024-01-03,B,7,58.0
2024-01-03,B,8,40.9
2024-01-03,B,9,45.2
2024-01-03,B,10,17.9
2024-01-03,B,11,12.9
2024-01-03,B,12,13.6
2024-01-03,B,13,19.8
2024-01-03,B,14,15.1
2024-01-03,B,15,19.6
2024-01-03,B,16,56.3
2024-01-03,B,17,36.6
2024-01-03,B,18,43.2
2024-01-03,B,19,46.8
2024-01-03,B,20,12.7
2024-01-03,B,21,16.0
2024-01-03,B,22,12.2
2024-01-03,C,6,20.2
2024-01-03,C,7,45.4
2024-01-03,C,8,33.4
2024-01-03,C,9,37.6
2024-01-03,C,10,21.9
2024-01-03,C,11,11.3
2024-01-03,C,12,13.6
2024-01-03,C,13,11.2
2024-01-03,C,14,16.9
2024-01-03,C,15,17.3
2024-01-03,C,16,24.3
2024-01-03,C,17,32.0
2024-01-03,C,18,35.8
2024-01-03,C,19,32.3
2024-01-03,C,20,15.8
2024-01-03,C,21,15.9
2024-01-03,C,22,19.3
2024-01-03,D,6,21.8
2024-01-03,D,7,40.2
2024-01-03,D,8,32.2
2024-01-03,D,9,35.9
2024-01-03,D,10,15.5
2024-01-03,D,11,15.2
2024-01-03,D,12,19.4
2024-01-03,D,13,18.9
2024-01-03,D,14,16.3
2024-01-03,D,15,11.1
2024-01-03,D,16,33.2
2024-01-03,D,17,37.6
2024-01-03,D,18,36.4
2024-01-03,D,19,13.7
2024-01-03,D,20,13.5
2024-01-03,D,21,15.7
2024-01-03,D,22,11.4
2024-01-03,E,6,5.0
2024-01-03,E,7,28.6
2024-01-03,E,8,33.3
2024-01-03,E,9,39.1
2024-01-03,E,10,10.3
2024-01-03,E,11,14.3
2024-01-03,E,12,21.3
2024-01-03,E,13,21.1
2024-01-03,E,14,19.4
2024-01-03,E,15,13.4
2024-01-03,E,16,36.1
2024-01-03,E,17,27.9
2024-01-03,E,18,31.4
2024-01-03,E,19,30.8
2024-01-03,E,20,19.5
2024-01-03,E,21,25.0
2024-01-03,E,22,17.3
2024-01-03,F,6,15.1
2024-01-03,F,7,22.8
2024-01-03,F,8,42.8
2024-01-03,F,9,45.8
2024-01-03,F,10,22.1
2024-01-03,F,11,15.9
2024-01-03,F,12,17.6
2024-01-03,F,13,18.5
2024-01-03,F,14,15.9
2024-01-03,F,15,18.0
2024-01-03,F,16,29.5
2024-01-03,F,17,46.7
2024-01-03,F,18,49.6
2024-01-03,F,19,18.4
2024-01-03,F,20,21.9
2024-01-03,F,21,14.7
2024-01-03,F,22,14.7
2024-01-04,A,6,9.5
2024-01-04,A,7,43.8
2024-01-04,A,8,41.1
2024-01-04,A,9,36.7
2024-01-04,A,10,20.6
2024-01-04,A,11,15.9
2024-01-04,A,12,18.8
2024-01-04,A,13,11.0
2024-01-04,A,14,15.5
2024-01-04,A,15,16.6
2024-01-04,A,16,43.7
2024-01-04,A,17,34.2
2024-01-04,A,18,32.7
2024-01-04,A,19,29.1
2024-01-04,A,20,11.4
2024-01-04,A,21,15.2
2024-01-04,A,22,12.5
2024-01-04,B,6,9.7
2024-01-04,B,7,34.5
2024-01-04,B,8,55.4
2024-01-04,B,9,27.3
2024-01-04,B,10,23.0
2024-01-04,B,11,13.1
2024-01-04,B,12,25.5
2024-01-04,B,13,21.7
2024-01-04,B,14,14.4
2024-01-04,B,15,9.5
2024-01-04,B,16,35.6
2024-01-04,B,17,32.0
2024-01-04,B,18,54.3
2024-01-04,B,19,31.0
2024-01-04,B,20,18.2
2024-01-04,B,21,25.9
2024-01-04,B,22,14.2
2024-01-04,C,6,17.4
2024-01-04,C,7,38.5
2024-01-04,C,8,44.2
2024-01-04,C,9,51.2
2024-01-04,C,10,11.8
2024-01-04,C,11,16.6
2024-01-04,C,12,17.0
2024-01-04,C,13,21.3
2024-01-04,C,14,18.5
2024-01-04,C,15,17.6
2024-01-04,C,16,45.7
2024-01-04,C,17,38.0
2024-01-04,C,18,30.5
2024-01-04,C,19,43.1
2024-01-04,C,20,16.0
2024-01-04,C,21,12.2
2024-01-04,C,22,14.8
2024-01-04,D,6,15.9
2024-01-04,D,7,43.5
2024-01-04,D,8,35.9
2024-01-04,D,9,18.4
2024-01-04,D,10,15.3
2024-01-04,D,11,17.7
2024-01-04,D,12,10.9
2024-01-04,D,13,14.0
2024-01-04,D,14,19.7
2024-01-04,D,15,18.2
2024-01-04,D,16,37.4
2024-01-04,D,17,36.9
2024-01-04,D,18,26.7
2024-01-04,D,19,29.0
2024-01-04,D,20,18.7
2024-01-04,D,21,10.8
2024-01-04,D,22,16.2
2024-01-04,E,6,18.7
2024-01-04,E,7,30.6
2024-01-04,E,8,61.7
2024-01-04,E,9,30.8
2024-01-04,E,10,15.0
2024-01-04,E,11,12.7
2024-01-04,E,12,23.6
2024-01-04,E,13,21.3
2024-01-04,E,14,18.5
2024-01-04,E,15,13.6
2024-01-04,E,16,28.3
2024-01-04,E,17,36.0
2024-01-04,E,18,29.5
2024-01-04,E,19,34.5
2024-01-04,E,20,16.4
2024-01-04,E,21,14.5
2024-01-04,E,22,20.1
2024-01-04,F,6,16.5
2024-01-04,F,7,42.5
2024-01-04,F,8,38.4
2024-01-04,F,9,37.7
2024-01-04,F,10,17.2
2024-01-04,F,11,25.1
2024-01-04,F,12,19.3
2024-01-04,F,13,13.8
2024-01-04,F,14,9.6
2024-01-04,F,15,9.8
2024-01-04,F,16,35.8
2024-01-04,F,17,35.4
2024-01-04,F,18,25.0
2024-01-04,F,19,30.1
2024-01-04,F,20,17.2
2024-01-04,F,21,11.2
2024-01-04,F,22,16.0
2024-01-05,A,6,18.0
2024-01-05,A,7,55.9
2024-01-05,A,8,38.9
2024-01-05,A,9,34.3
2024-01-05,A,10,14.5
2024-01-05,A,11,13.9
2024-01-05,A,12,16.8
2024-01-05,A,13,8.6
2024-01-05,A,14,18.3
2024-01-05,A,15,12.5
2024-01-05,A,16,35.2
2024-01-05,A,17,45.6
2024-01-05,A,18,36.0
2024-01-05,A,19,42.3
2024-01-05,A,20,20.2
2024-01-05,A,21,19.3
2024-01-05,A,22,21.6
2024-01-05,B,6,17.9
2024-01-05,B,7,41.2
2024-01-05,B,8,36.2
2024-01-05,B,9,29.0
2024-01-05,B,10,16.3
2024-01-05,B,11,18.4
2024-01-05,B,12,10.7
2024-01-05,B,13,21.2
2024-01-05,B,14,16.4
2024-01-05,B,15,11.2
2024-01-05,B,16,37.4
2024-01-05,B,17,42.6
2024-01-05,B,18,29.9
2024-01-05,B,19,43.8
2024-01-05,B,20,11.6
2024-01-05,B,21,23.0
2024-01-05,B,22,21.7
2024-01-05,C,6,9.9
2024-01-05,C,7,51.1
2024-01-05,C,8,39.9
2024-01-05,C,9,45.9
2024-01-05,C,10,17.7
2024-01-05,C,11,11.2
2024-01-05,C,12,20.8
2024-01-05,C,13,9.5
2024-01-05,C,14,17.1
2024-01-05,C,15,11.0
2024-01-05,C,16,34.3
2024-01-05,C,17,51.9
2024-01-05,C,18,35.9
2024-01-05,C,19,46.3
2024-01-05,C,20,14.4
2024-01-05,C,21,18.4
2024-01-05,C,22,21.4
2024-01-05,D,6,10.7
2024-01-05,D,7,37.3
2024-01-05,D,8,36.5
2024-01-05,D,9,47.7
2024-01-05,D,10,18.8
2024-01-05,D,11,13.8
2024-01-05,D,12,17.8
2024-01-05,D,13,18.9
2024-01-05,D,14,11.0
2024-01-05,D,15,14.6
2024-01-05,D,16,40.0
2024-01-05,D,17,40.8
2024-01-05,D,18,37.4
2024-01-05,D,19,40.3
2024-01-05,D,20,16.0
2024-01-05,D,21,26.9
2024-01-05,D,22,15.6
2024-01-05,E,6,16.3
2024-01-05,E,7,46.8
2024-01-05,E,8,41.2
2024-01-05,E,9,39.4
2024-01-05,E,10,13.6
2024-01-05,E,11,13.3
2024-01-05,E,12,25.8
2024-01-05,E,13,11.8
2024-01-05,E,14,12.8
2024-01-05,E,15,16.7
2024-01-05,E,16,42.9
2024-01-05,E,17,34.0
2024-01-05,E,18,37.5
2024-01-05,E,19,35.6
2024-01-05,E,20,11.0
2024-01-05,E,21,19.0
2024-01-05,E,22,16.1
2024-01-05,F,6,17.4
2024-01-05,F,7,38.5
2024-01-05,F,8,40.6
2024-01-05,F,9,42.3
2024-01-05,F,10,11.3
2024-01-05,F,11,15.2
2024-01-05,F,12,19.6
2024-01-05,F,13,17.3
2024-01-05,F,14,18.0
2024-01-05,F,15,13.4
2024-01-05,F,16,36.7
2024-01-05,F,17,34.0
2024-01-05,F,18,45.3
2024-01-05,F,19,39.4
2024-01-05,F,20,18.6
2024-01-05,F,21,11.7
2024-01-05,F,22,11.6
2024-01-06,A,6,20.8
2024-01-06,A,7,42.3
2024-01-06,A,8,51.4
2024-01-06,A,9,71.3
2024-01-06,A,10,21.4
2024-01-06,A,11,13.9
2024-01-06,A,12,25.6
2024-01-06,A,13,24.9
2024-01-06,A,14,15.2
2024-01-06,A,15,18.4
2024-01-06,A,16,52.1
2024-01-06,A,17,51.6
2024-01-06,A,18,34.9
2024-01-06,A,19,51.4
2024-01-06,A,20,25.0
2024-01-06,A,21,20.7
2024-01-06,A,22,27.3
2024-01-06,B,6,29.7
2024-01-06,B,7,46.9
2024-01-06,B,8,51.1
2024-01-06,B,9,58.0
2024-01-06,B,10,29.5
2024-01-06,B,11,28.0
2024-01-06,B,12,19.1
2024-01-06,B,13,23.2
2024-01-06,B,14,17.4
2024-01-06,B,15,16.3
2024-01-06,B,16,52.3
2024-01-06,B,17,36.1
2024-01-06,B,18,55.4
2024-01-06,B,19,38.4
2024-01-06,B,20,15.1
2024-01-06,B,21,22.1
2024-01-06,B,22,19.7
2024-01-06,C,6,20.4
2024-01-06,C,7,39.5
2024-01-06,C,8,45.5
2024-01-06,C,9,61.2
2024-01-06,C,10,26.2
2024-01-06,C,11,22.4
2024-01-06,C,12,24.9
2024-01-06,C,13,23.8
2024-01-06,C,14,11.1
2024-01-06,C,15,18.0
2024-01-06,C,16,53.9
2024-01-06,C,17,48.7
2024-01-06,C,18,37.3
2024-01-06,C,19,31.7
2024-01-06,C,20,29.7
2024-01-06,C,21,22.7
2024-01-06,C,22,14.3
2024-01-06,D,6,27.5
2024-01-06,D,7,76.2
2024-01-06,D,8,70.6
2024-01-06,D,9,60.3
2024-01-06,D,10,17.3
2024-01-06,D,11,18.2
2024-01-06,D,12,32.1
2024-01-06,D,13,15.5
2024-01-06,D,14,15.0
2024-01-06,D,15,23.8
2024-01-06,D,16,48.2
2024-01-06,D,17,62.6
2024-01-06,D,18,45.1
2024-01-06,D,19,58.1
2024-01-06,D,20,25.9
2024-01-06,D,21,18.5
2024-01-06,D,22,14.5
2024-01-06,E,6,28.5
2024-01-06,E,7,46.4
2024-01-06,E,8,44.3
2024-01-06,E,9,61.8
2024-01-06,E,10,22.1
2024-01-06,E,11,31.4
2024-01-06,E,12,20.9
2024-01-06,E,13,32.3
2024-01-06,E,14,13.5
2024-01-06,E,15,15.5
2024-01-06,E,16,47.5
2024-01-06,E,17,59.0
2024-01-06,E,18,45.9
2024-01-06,E,19,45.4
2024-01-06,E,20,22.1
2024-01-06,E,21,23.1
2024-01-06,E,22,20.6
2024-01-06,F,6,19.9
2024-01-06,F,7,38.8
2024-01-06,F,8,47.2
2024-01-06,F,9,50.2
2024-01-06,F,10,26.0
2024-01-06,F,11,24.9
2024-01-06,F,12,25.9
2024-01-06,F,13,20.4
2024-01-06,F,14,24.6
2024-01-06,F,15,16.9
2024-01-06,F,16,55.5
2024-01-06,F,17,39.8
2024-01-06,F,18,51.0
2024-01-06,F,19,43.4
2024-01-06,F,20,21.4
2024-01-06,F,21,23.1
2024-01-06,F,22,23.1
2024-01-07,A,6,18.6
2024-01-07,A,7,59.4
2024-01-07,A,8,70.7
2024-01-07,A,9,53.2
2024-01-07,A,10,16.1
2024-01-07,A,11,24.6
2024-01-07,A,12,16.9
2024-01-07,A,13,22.1
2024-01-07,A,14,19.4
2024-01-07,A,15,19.9
2024-01-07,A,16,55.3
2024-01-07,A,17,60.0
2024-01-07,A,18,49.1
2024-01-07,A,19,54.2
2024-01-07,A,20,19.8
2024-01-07,A,21,19.7
2024-01-07,A,22,18.7
2024-01-07,B,6,16.8
2024-01-07,B,7,46.9
2024-01-07,B,8,51.1
2024-01-07,B,9,52.4
2024-01-07,B,10,17.9
2024-01-07,B,11,20.4
2024-01-07,B,12,28.0
2024-01-07,B,13,17.4
2024-01-07,B,14,15.4
2024-01-07,B,15,15.1
2024-01-07,B,16,40.3
2024-01-07,B,17,47.2
2024-01-07,B,18,46.1
2024-01-07,B,19,45.9
2024-01-07,B,20,21.7
2024-01-07,B,21,13.8
2024-01-07,B,22,26.5
2024-01-07,C,6,29.2
2024-01-07,C,7,44.6
2024-01-07,C,8,51.7
2024-01-07,C,9,58.7
2024-01-07,C,10,15.7
2024-01-07,C,11,21.0
2024-01-07,C,12,26.4
2024-01-07,C,13,21.8
2024-01-07,C,14,21.6
2024-01-07,C,15,20.7
2024-01-07,C,16,39.3
2024-01-07,C,17,46.6
2024-01-07,C,18,46.4
2024-01-07,C,19,69.6
2024-01-07,C,20,15.7
2024-01-07,C,21,23.7
2024-01-07,C,22,14.3
2024-01-07,D,6,22.8
2024-01-07,D,7,58.6
2024-01-07,D,8,53.6
2024-01-07,D,9,63.1
2024-01-07,D,10,26.9
2024-01-07,D,11,18.1
2024-01-07,D,12,25.1
2024-01-07,D,13,23.6
2024-01-07,D,14,17.4
2024-01-07,D,15,20.5
2024-01-07,D,16,43.6
2024-01-07,D,17,48.6
2024-01-07,D,18,44.9
2024-01-07,D,19,46.2
2024-01-07,D,20,12.7
2024-01-07,D,21,23.5
2024-01-07,D,22,22.0
2024-01-07,E,6,23.0
2024-01-07,E,7,59.1
2024-01-07,E,8,51.4
2024-01-07,E,9,37.4
2024-01-07,E,10,14.3
2024-01-07,E,11,22.6
2024-01-07,E,12,18.2
2024-01-07,E,13,17.7
2024-01-07,E,14,26.0
2024-01-07,E,15,13.7
2024-01-07,E,16,47.3
2024-01-07,E,17,45.8
2024-01-07,E,18,46.8
2024-01-07,E,19,35.6
2024-01-07,E,20,19.9
2024-01-07,E,21,18.9
2024-01-07,E,22,22.8
2024-01-07,F,6,19.2
2024-01-07,F,7,47.9
2024-01-07,F,8,64.3
2024-01-07,F,9,44.4
2024-01-07,F,10,24.8
2024-01-07,F,11,21.8
2024-01-07,F,12,21.5
2024-01-07,F,13,22.9
2024-01-07,F,14,18.6
2024-01-07,F,15,26.5
2024-01-07,F,16,60.8
2024-01-07,F,17,47.5
2024-01-07,F,18,45.9
2024-01-07,F,19,53.0
2024-01-07,F,20,19.2
2024-01-07,F,21,20.0
2024-01-07,F,22,18.4
2024-01-08,A,6,13.8
2024-01-08,A,7,33.1
2024-01-08,A,8,40.0
2024-01-08,A,9,26.7
2024-01-08,A,10,19.9
2024-01-08,A,11,17.1
2024-01-08,A,12,15.1
2024-01-08,A,13,17.3
2024-01-08,A,14,20.7
2024-01-08,A,15,27.3
2024-01-08,A,16,39.4
2024-01-08,A,17,37.4
2024-01-08,A,18,35.0
2024-01-08,A,19,30.1
2024-01-08,A,20,17.5
2024-01-08,A,21,19.4
2024-01-08,A,22,15.4
2024-01-08,B,6,11.0
2024-01-08,B,7,31.9
2024-01-08,B,8,54.8
2024-01-08,B,9,33.7
2024-01-08,B,10,21.4
2024-01-08,B,11,12.0
2024-01-08,B,12,23.3
2024-01-08,B,13,12.9
2024-01-08,B,14,10.6
2024-01-08,B,15,19.3
2024-01-08,B,16,29.0
2024-01-08,B,17,36.4
2024-01-08,B,18,31.5
2024-01-08,B,19,36.0
2024-01-08,B,20,13.7
2024-01-08,B,21,33.3
2024-01-08,B,22,13.9
2024-01-08,C,6,12.2
2024-01-08,C,7,39.5
2024-01-08,C,8,44.1
2024-01-08,C,9,45.5
2024-01-08,C,10,12.3
2024-01-08,C,11,13.1
2024-01-08,C,12,19.1
2024-01-08,C,13,13.9
2024-01-08,C,14,22.7
2024-01-08,C,15,15.4
2024-01-08,C,16,29.4
2024-01-08,C,17,26.2
2024-01-08,C,18,46.8
2024-01-08,C,19,34.1
2024-01-08,C,20,13.3
2024-01-08,C,21,10.3
2024-01-08,C,22,16.0
2024-01-08,D,6,22.9
2024-01-08,D,7,40.9
2024-01-08,D,8,37.7
2024-01-08,D,9,39.5
2024-01-08,D,10,18.6
2024-01-08,D,11,15.6
2024-01-08,D,12,15.1
2024-01-08,D,13,17.4
2024-01-08,D,14,18.8
2024-01-08,D,15,25.4
2024-01-08,D,16,34.4
2024-01-08,D,17,39.3
2024-01-08,D,18,37.2
2024-01-08,D,19,32.0
2024-01-08,D,20,10.2
2024-01-08,D,21,13.5
2024-01-08,D,22,15.3
2024-01-08,E,6,19.6
2024-01-08,E,7,49.7
2024-01-08,E,8,45.7
2024-01-08,E,9,56.4
2024-01-08,E,10,13.3
2024-01-08,E,11,14.4
2024-01-08,E,12,15.2
2024-01-08,E,13,18.1
2024-01-08,E,14,16.2
2024-01-08,E,15,14.0
2024-01-08,E,16,40.1
2024-01-08,E,17,34.7
2024-01-08,E,18,35.3
2024-01-08,E,19,31.6
2024-01-08,E,20,22.9
2024-01-08,E,21,9.6
2024-01-08,E,22,13.6
2024-01-08,F,6,18.1
2024-01-08,F,7,36.3
2024-01-08,F,8,37.1
2024-01-08,F,9,41.9
2024-01-08,F,10,16.2
2024-01-08,F,11,11.3
2024-01-08,F,12,11.4
2024-01-08,F,13,17.0
2024-01-08,F,14,13.1
2024-01-08,F,15,10.1
2024-01-08,F,16,35.9
2024-01-08,F,17,38.9
2024-01-08,F,18,30.6
2024-01-08,F,19,33.1
2024-01-08,F,20,18.4
2024-01-08,F,21,14.2
2024-01-08,F,22,13.5
2024-01-09,A,6,26.1
2024-01-09,A,7,45.3
2024-01-09,A,8,40.6
2024-01-09,A,9,42.1
2024-01-09,A,10,12.5
2024-01-09,A,11,14.3
2024-01-09,A,12,23.1
2024-01-09,A,13,21.8
2024-01-09,A,14,19.8
2024-01-09,A,15,15.1
2024-01-09,A,16,34.2
2024-01-09,A,17,59.1
2024-01-09,A,18,50.8
2024-01-09,A,19,67.6
2024-01-09,A,20,19.5
2024-01-09,A,21,23.4
2024-01-09,A,22,28.6
2024-01-09,B,6,18.5
2024-01-09,B,7,53.0
2024-01-09,B,8,69.4
2024-01-09,B,9,57.3
2024-01-09,B,10,31.6
2024-01-09,B,11,17.5
2024-01-09,B,12,15.2
2024-01-09,B,13,13.1
2024-01-09,B,14,14.0
2024-01-09,B,15,23.2
2024-01-09,B,16,43.5
2024-01-09,B,17,41.1
2024-01-09,B,18,40.2
2024-01-09,B,19,37.7
2024-01-09,B,20,12.9
2024-01-09,B,21,20.8
2024-01-09,B,22,26.6
2024-01-09,C,6,20.6
2024-01-09,C,7,66.0
2024-01-09,C,8,54.7
2024-01-09,C,9,62.7
2024-01-09,C,10,25.1
2024-01-09,C,11,24.1
2024-01-09,C,12,37.0
2024-01-09,C,13,14.9
2024-01-09,C,14,14.9
2024-01-09,C,15,16.5
2024-01-09,C,16,39.7
2024-01-09,C,17,33.1
2024-01-09,C,18,39.7
2024-01-09,C,19,50.9
2024-01-09,C,20,15.0
2024-01-09,C,21,25.0
2024-01-09,C,22,25.5
2024-01-09,D,6,22.3
2024-01-09,D,7,44.9
2024-01-09,D,8,43.5
2024-01-09,D,9,49.2
2024-01-09,D,10,16.7
2024-01-09,D,11,20.1
2024-01-09,D,12,20.3
2024-01-09,D,13,17.4
2024-01-09,D,14,20.1
2024-01-09,D,15,19.4
2024-01-09,D,16,43.1
2024-01-09,D,17,35.3
2024-01-09,D,18,49.2
2024-01-09,D,19,48.9
2024-01-09,D,20,21.2
2024-01-09,D,21,17.2
2024-01-09,D,22,23.7
2024-01-09,E,6,23.7
2024-01-09,E,7,71.8
2024-01-09,E,8,52.6
2024-01-09,E,9,49.5
2024-01-09,E,10,24.5
2024-01-09,E,11,19.8
2024-01-09,E,12,16.8
2024-01-09,E,13,14.4
2024-01-09,E,14,17.0
2024-01-09,E,15,26.0
2024-01-09,E,16,36.2
2024-01-09,E,17,55.0
2024-01-09,E,18,43.4
2024-01-09,E,19,32.4
2024-01-09,E,20,26.9
2024-01-09,E,21,19.0
2024-01-09,E,22,21.0
2024-01-09,F,6,12.9
2024-01-09,F,7,61.6
2024-01-09,F,8,47.3
2024-01-09,F,9,42.1
2024-01-09,F,10,22.4
2024-01-09,F,11,22.4
2024-01-09,F,12,17.1
2024-01-09,F,13,13.5
2024-01-09,F,14,27.1
2024-01-09,F,15,34.4
2024-01-09,F,16,42.3
2024-01-09,F,17,32.9
2024-01-09,F,18,51.0
2024-01-09,F,19,46.1
2024-01-09,F,20,19.2
2024-01-09,F,21,24.5
2024-01-09,F,22,21.8
2024-01-10,A,6,16.5
2024-01-10,A,7,38.5
2024-01-10,A,8,27.8
2024-01-10,A,9,38.4
2024-01-10,A,10,6.4
2024-01-10,A,11,15.5
2024-01-10,A,12,15.7
2024-01-10,A,13,11.7
2024-01-10,A,14,22.1
2024-01-10,A,15,9.2
2024-01-10,A,16,31.8
2024-01-10,A,17,36.4
